Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Glucagon signaling pathway_Homo sapiens_hsa04922,5/101,0.00015307759902642934,0.0448517365147438,0,0,9.900990099009901,86.97589685115327,PRKAA1;CAMK2D;AKT2;ITPR3;PRKAB1,KEGG_2016
Insulin resistance_Homo sapiens_hsa04931,5/109,0.00021878085696623944,0.032051395545554084,0,0,9.174311926605503,77.31596313997744,SLC27A1;PRKAA1;AKT2;SLC27A3;PRKAB1,KEGG_2016
Ras signaling pathway_Homo sapiens_hsa04014,6/227,0.0009819474035463326,0.09590352974635848,0,0,5.286343612334802,36.613072131741006,TIAM1;RALB;SHC1;AKT2;RASA1;BCL2L1,KEGG_2016
Chemokine signaling pathway_Homo sapiens_hsa04062,5/187,0.0024900868338033704,0.1823988605760969,0,0,5.3475935828877015,32.06116415026828,TIAM1;SHC1;AKT2;PXN;PTK2B,KEGG_2016
Toxoplasmosis_Homo sapiens_hsa05145,4/118,0.002920636172095891,0.17114927968481924,0,0,6.779661016949151,39.565788605257104,CASP8;AKT2;LY96;BCL2L1,KEGG_2016
Nitrogen metabolism_Homo sapiens_hsa00910,2/17,0.00320528834894988,0.15652491437371915,0,0,23.529411764705877,135.1283111573017,CA12;GLUD2,KEGG_2016
mTOR signaling pathway_Homo sapiens_hsa04150,3/60,0.003376073956019611,0.1413128098733923,0,0,10.0,56.91041796084455,PRKAA1;AKT2;RRAGD,KEGG_2016
Focal adhesion_Homo sapiens_hsa04510,5/202,0.003467948162167306,0.12701360143937754,0,0,4.950495049504951,28.04055528538365,TNN;SHC1;AKT2;PXN;ILK,KEGG_2016
Proteoglycans in cancer_Homo sapiens_hsa05205,5/203,0.003541673973584129,0.11530116380668333,0,0,4.9261083743842375,27.79879699365644,TIAM1;CAMK2D;AKT2;PXN;ITPR3,KEGG_2016
Longevity regulating pathway - multiple species_Homo sapiens_hsa04213,3/64,0.004051724989556021,0.1187155421939914,0,0,9.375,51.64324279871367,PRKAA1;AKT2;PRKAB1,KEGG_2016
Glioma_Homo sapiens_hsa05214,3/65,0.0042325222263702705,0.1127390011205899,0,0,9.230769230769232,50.44575870104636,CAMK2D;SHC1;AKT2,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,3/66,0.004418151436739624,0.10787653091372584,0,0,9.090909090909092,49.291217248689215,RALB;AKT2;BCL2L1,KEGG_2016
Adipocytokine signaling pathway_Homo sapiens_hsa04920,3/70,0.00520972357949959,0.1174191545225677,0,0,8.571428571428571,45.061958403279455,PRKAA1;AKT2;PRKAB1,KEGG_2016
Insulin signaling pathway_Homo sapiens_hsa04910,4/139,0.005234517220934926,0.1095509675524238,0,0,5.755395683453237,30.23010451982264,PRKAA1;SHC1;AKT2;PRKAB1,KEGG_2016
Apoptosis_Homo sapiens_hsa04210,4/140,0.005368142491188597,0.10485771666121728,0,0,5.7142857142857135,29.870133343467565,CASP8;AKT2;ITPR3;BCL2L1,KEGG_2016
Chronic myeloid leukemia_Homo sapiens_hsa05220,3/73,0.005855883887726475,0.10723587369399107,0,0,8.21917808219178,42.249109565221346,SHC1;AKT2;BCL2L1,KEGG_2016
Phospholipase D signaling pathway_Homo sapiens_hsa04072,4/144,0.0059254727892939785,0.1021272663095962,0,0,5.5555555555555545,28.491637774905637,RALB;SHC1;AKT2;PTK2B,KEGG_2016
Hepatitis B_Homo sapiens_hsa05161,4/146,0.006218069574267214,0.101216354736683,0,0,5.479452054794519,27.83723714102391,CASP8;AKT2;PTK2B;DDB2,KEGG_2016
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932,4/151,0.0069912444989792795,0.10781234937899628,0,0,5.298013245033112,26.294552045946716,PRKAA1;CASP8;AKT2;PRKAB1,KEGG_2016
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100,3/78,0.007035335639566522,0.10306766711964956,0,0,7.6923076923076925,38.12930676610896,SHC1;PXN;ILK,KEGG_2016
Oxytocin signaling pathway_Homo sapiens_hsa04921,4/158,0.008176819501307594,0.11408610066110125,0,0,5.063291139240506,24.336465913905453,PRKAA1;CAMK2D;ITPR3;PRKAB1,KEGG_2016
ErbB signaling pathway_Homo sapiens_hsa04012,3/87,0.009491120371781656,0.12640446676963749,0,0,6.896551724137932,32.119990449552624,CAMK2D;SHC1;AKT2,KEGG_2016
